Iteration,EnvExecTime,GradNorm,TotalEnvSteps,LossAfter,Entropy,ProcessExecTime,AverageDiscountedReturn,KL,PolicyExecTime,StdReturn,KLBefore,AverageReturn,dLoss,EvalAvgReturn,NumTrajs,MinReturn,MaxReturn,LossBefore
75,2.9573726654052734,0.5170489534060906,380924,-0.16560648381710052,1.5097270011901855,0.0648033618927002,-29.42263014771278,0.0005514113581739366,2.175760269165039,29.520799447169455,0.0006126405205577612,-52.17999999999998,0.0026093870401382446,,300,-100.50000000000003,6.000000000000025,-0.16299709677696228
76,2.992886781692505,0.3825335174888821,385924,-0.16833652555942535,1.5076782703399658,0.06478762626647949,-34.4666215741997,0.0007266334141604602,2.19143009185791,38.711672658256454,0.0005552465445362031,-59.42,-0.002388566732406616,,300,-131.5,4.000000000000011,-0.17072509229183197
77,2.848222494125366,0.38183827817877936,390924,-0.16738739609718323,1.5037777423858643,0.06586956977844238,-28.863217221052494,0.0007024140213616192,2.2227678298950195,36.49588469951099,0.0006968118250370026,-49.47999999999999,-0.008242413401603699,,300,-120.5,26.500000000000007,-0.17562980949878693
78,2.9397640228271484,0.43244536175416604,395924,-0.16711771488189697,1.5079528093338013,0.0650334358215332,-18.91018694204126,0.0007887136889621615,2.1821329593658447,23.49226255599915,0.0006807235185988247,-38.059999999999995,-0.0016356706619262695,,300,-78.5,25.499999999999982,-0.16875338554382324
79,2.997967004776001,0.4064385398230347,400924,-0.16928009688854218,1.5057439804077148,0.0671083927154541,-24.869991230154984,0.0007531562587246299,2.270275115966797,38.03027215258918,0.0007955839391797781,-43.71999999999999,-0.009316250681877136,,300,-125.5,8.499999999999986,-0.1785963475704193
80,2.892923593521118,0.36406619281702174,405924,-0.16712339222431183,1.5043530464172363,0.06491303443908691,-22.428646133151123,0.0006812548381276429,2.197734832763672,22.509766769116027,0.0007549051661044359,-43.47999999999999,-0.006437480449676514,-23.240000000000038,300,-85.5,-1.5,-0.17356087267398834
81,3.060743570327759,0.39940061016379985,410924,-0.1685675084590912,1.499504804611206,0.06769871711730957,-17.83613788682018,0.0006355514051392674,2.293748140335083,27.107460227767554,0.0006924955523572862,-39.65999999999999,0.0014808624982833862,,300,-81.5,27.999999999999996,-0.1670866459608078
82,3.296962022781372,0.35574943436930817,415924,-0.16926255822181702,1.501724123954773,0.07218194007873535,-23.33775762391689,0.000684872386045754,2.5089471340179443,27.029213825044934,0.0006396561511792243,-43.03999999999999,-0.0011261552572250366,,300,-104.5,1.0000000000000213,-0.17038871347904205
83,3.0595850944519043,0.4349085215006205,420924,-0.16580237448215485,1.504416584968567,0.0685420036315918,-17.6024054737893,0.0007085372344590724,2.2993128299713135,25.3326350780964,0.0006534334388561547,-34.73999999999999,-0.004649847745895386,,300,-89.00000000000001,11.000000000000004,-0.17045222222805023
84,3.037893533706665,0.3437334570218417,425924,-0.1648375540971756,1.4999265670776367,0.0678553581237793,-27.15422220289546,0.0006275451160036027,2.2830326557159424,32.53007224092809,0.0007677986286580563,-46.38,-0.006797701120376587,,300,-131.50000000000003,3.999999999999986,-0.17163525521755219
85,3.184131622314453,0.3278960321107088,430924,-0.1668081432580948,1.502165675163269,0.06950044631958008,-12.695979408766226,0.0006200327770784497,2.356544256210327,26.21994660559018,0.0005989492638036609,-32.87999999999999,0.006278425455093384,,300,-76.0,30.99999999999999,-0.1605297178030014
86,3.047285556793213,0.4465803528572023,435924,-0.1677982211112976,1.5025237798690796,0.06817460060119629,-20.778075127877855,0.000659046636428684,2.283616065979004,24.523588644405212,0.0006401593564078212,-39.93999999999999,-0.0051909685134887695,,300,-117.5,-7.999999999999977,-0.17298918962478638
87,3.000727653503418,0.3693819407646315,440924,-0.16793453693389893,1.500656008720398,0.06895232200622559,-17.226248257132106,0.000829848344437778,2.3630878925323486,27.243347811897124,0.0006836051470600069,-34.899999999999984,-0.0036275088787078857,,300,-86.99999999999997,6.9999999999999964,-0.1715620458126068
88,3.2225728034973145,0.30398716178526625,445924,-0.16500675678253174,1.5034987926483154,0.06775999069213867,-30.28721755800003,0.0005767092225141823,2.2728383541107178,28.131804065861115,0.0008903556736186147,-50.96,-0.0014497339725494385,,300,-108.0,21.000000000000007,-0.16645649075508118
89,3.039968967437744,0.37075835277836366,450924,-0.1671636998653412,1.501059889793396,0.06933760643005371,-21.667195512744247,0.000722886819858104,2.3147785663604736,31.5992151801275,0.0005393669125624001,-40.35999999999999,0.0008567571640014648,,300,-116.00000000000003,27.500000000000014,-0.16630694270133972
90,2.9920592308044434,0.3868921066526213,455924,-0.1653376668691635,1.494339942932129,0.06730985641479492,-24.423589291805524,0.0007004584185779095,2.2834432125091553,30.919275541318886,0.0007483104709535837,-44.72,-0.00233440101146698,,300,-131.50000000000003,7.000000000000007,-0.1676720678806305
