AverageReturn,dLoss,ProcessExecTime,KLBefore,LossAfter,Entropy,NumTrajs,LossBefore,MaxReturn,PolicyExecTime,EnvExecTime,KL,Iteration,GradNorm,StdReturn,TotalEnvSteps,MinReturn,AverageDiscountedReturn
-23.4078947368421,-0.0026064664125442505,0.151658296585083,0.0012839420232921839,-0.16828468441963196,1.4911448955535889,304,-0.1708911508321762,8.999999999999993,5.288140535354614,6.269064664840698,0.001121071632951498,75,0.3464126553920493,20.260103153202188,577664,-62.49999999999998,-8.883957891251967
-22.86842105263157,0.004383638501167297,0.15012478828430176,0.0011073045898228884,-0.16941949725151062,1.4914000034332275,304,-0.16503585875034332,16.499999999999986,5.358998537063599,6.30282735824585,0.0012461845763027668,76,0.3443958950145414,19.02618839587546,585264,-70.99999999999999,-9.165215914550737
-18.999999999999993,0.0007219463586807251,0.15291047096252441,0.001220164936967194,-0.17161455750465393,1.495563268661499,312,-0.1708926111459732,46.49999999999999,5.437752723693848,6.2761945724487305,0.0012957330327481031,77,0.3901836635461979,18.241612052020244,592884,-64.99999999999999,-5.799649248591191
-25.828947368421048,0.002149343490600586,0.15218734741210938,0.0013478529872372746,-0.16947153210639954,1.4931455850601196,304,-0.16732218861579895,8.50000000000002,5.378610134124756,6.334320783615112,0.0013295769458636642,78,0.39855126436030835,19.883303070597446,600484,-72.49999999999999,-11.476894294176757
-23.434210526315784,0.001094028353691101,0.15411019325256348,0.0013299720594659448,-0.1689281463623047,1.4919084310531616,304,-0.1678341180086136,17.00000000000003,5.365667104721069,6.262650489807129,0.0013215254293754697,79,0.3921498733498249,17.180608351397215,608084,-60.999999999999986,-10.057681625481269
-20.276315789473678,-0.0004892647266387939,0.15010356903076172,0.0013184697600081563,-0.16984722018241882,1.4977269172668457,304,-0.17033648490905762,2.0000000000000107,5.306719541549683,6.28962516784668,0.0012569761602208018,80,0.3231317875451793,13.995157700368074,615684,-48.99999999999998,-7.516653911125641
-23.315789473684205,7.152557373046875e-07,0.15336918830871582,0.0012533459812402725,-0.17122529447078705,1.497726321220398,304,-0.17122457921504974,13.499999999999991,5.33855414390564,6.303386211395264,0.0012981791514903307,81,0.3650490062819442,17.17342693808617,623284,-71.99999999999997,-9.513308186610391
-25.131578947368414,-0.0039931535720825195,0.15432214736938477,0.0012924948241561651,-0.16966110467910767,1.4953526258468628,304,-0.17365425825119019,-1.4999999999999893,5.354341745376587,6.249464750289917,0.0012850563507527113,82,0.3310883499376258,14.258738876528678,630884,-58.49999999999998,-10.815549826165205
-21.684210526315784,-0.0011909455060958862,0.1525869369506836,0.0012793784262612462,-0.17012135684490204,1.4989745616912842,304,-0.17131230235099792,19.999999999999993,5.334420204162598,6.224240303039551,0.0011883123079314828,83,0.3361776951071457,14.346015884040847,638484,-51.999999999999986,-8.877868355398034
-23.197368421052627,4.3004751205444336e-05,0.15340065956115723,0.0012041061418130994,-0.16986167430877686,1.496748685836792,304,-0.1698186695575714,14.99999999999999,5.331379652023315,6.235028028488159,0.001158541883341968,84,0.3410972814742711,17.2109739600564,646084,-55.99999999999997,-9.946639835823925
-17.013157894736835,-0.0008836984634399414,0.15479493141174316,0.0011564877349883318,-0.1715208888053894,1.4956166744232178,304,-0.17240458726882935,21.999999999999993,5.460686206817627,6.170922517776489,0.0012025594478473067,85,0.31551624767625325,16.626503431073242,653684,-64.99999999999997,-4.269851232002267
-22.144736842105253,-0.0025431960821151733,0.14974093437194824,0.00121209560893476,-0.17003233730793,1.496392011642456,304,-0.17257553339004517,21.000000000000018,5.273820161819458,6.061914920806885,0.001299939933232963,86,0.34996246029766137,18.721612860238363,661284,-70.99999999999997,-8.999293695164326
-16.407894736842103,-0.002248317003250122,0.14966177940368652,0.0013083573430776596,-0.1708754599094391,1.4935307502746582,304,-0.1731237769126892,20.499999999999986,5.278674364089966,5.989736557006836,0.001252457732334733,87,0.3541612610510999,17.374684875278614,668884,-52.499999999999986,-4.027785130439243
-18.328947368421048,-0.002726927399635315,0.14874982833862305,0.001241879304870963,-0.1698068082332611,1.4992620944976807,304,-0.17253373563289642,15.999999999999991,5.245980262756348,5.96185040473938,0.0011748317629098892,88,0.3296619511244006,15.901537626656317,676484,-53.999999999999986,-5.369204262401957
